date,minor,accuracy,rssi
2022-04-26 20:35:03,14,622.3199556,-77
2022-04-26 20:35:04,13,622.3199556,-77
2022-04-26 20:35:04,11,15.68488048,-53
2022-04-26 20:35:05,12,134.7243948,-66
2022-04-26 20:35:05,14,707.4774921,-78
2022-04-26 20:35:06,14,546.5037808,-76
2022-04-26 20:35:07,11,15.68488048,-53
2022-04-26 20:35:08,13,1867.752525,-86
2022-04-26 20:35:08,12,115.8186631,-65
2022-04-26 20:35:09,19003,85.69903308,-93
2022-04-26 20:35:10,11,18.77774356,-54
2022-04-26 20:35:11,12,115.8186631,-65
2022-04-26 20:35:12,11,26.72270083,-56
2022-04-26 20:35:12,19003,39.64444522,-86
2022-04-26 20:35:13,13,707.4774921,-78
2022-04-26 20:35:13,14,1312.133233,-83
2022-04-26 20:35:14,12,319.3918229,-72
2022-04-26 20:35:14,14,1312.133233,-83
2022-04-26 20:35:15,13,707.4774921,-78
2022-04-26 20:35:15,11,72.58934229,-62
2022-04-26 20:35:15,12,134.7243948,-66
2022-04-26 20:35:16,13,366.2837502,-73
2022-04-26 20:35:16,14,1163.147271,-82
2022-04-26 20:35:17,12,134.7243948,-66
2022-04-26 20:35:17,14,909.9450111,-80
2022-04-26 20:35:18,13,707.4774921,-78
2022-04-26 20:35:18,11,26.72270083,-56
2022-04-26 20:35:18,12,156.3746411,-67
2022-04-26 20:35:18,19002,175.8165151,-100
2022-04-26 20:35:19,13,2095.32003,-87
2022-04-26 20:35:19,14,1029.561411,-81
2022-04-26 20:35:20,12,134.7243948,-66
2022-04-26 20:35:20,14,419.2895897,-74
2022-04-26 20:35:20,13,546.5037808,-76
2022-04-26 20:35:20,11,44.5346694,-59
2022-04-26 20:35:20,19005,44.40913628,-87
2022-04-26 20:35:20,19003,44.40913628,-87
2022-04-26 20:35:20,12,72.58934229,-62
2022-04-26 20:35:21,19004,39.64444522,-86
2022-04-26 20:35:21,19005,85.69903308,-93
2022-04-26 20:35:22,19004,39.64444522,-86
2022-04-26 20:35:22,11,44.5346694,-59
2022-04-26 20:35:22,19001,105.7709347,-95
2022-04-26 20:35:22,14,622.3199556,-77
2022-04-26 20:35:22,19005,35.35052989,-85
2022-04-26 20:35:22,12,156.3746411,-67
2022-04-26 20:35:22,19002,95.25772824,-94
2022-04-26 20:35:23,19004,44.40913628,-87
2022-04-26 20:35:23,19005,35.35052989,-85
2022-04-26 20:35:23,13,479.1073624,-75
2022-04-26 20:35:23,11,115.8186631,-65
2022-04-26 20:35:23,19003,105.7709347,-95
2022-04-26 20:35:24,13,319.3918229,-72
2022-04-26 20:35:24,11,61.83033782,-61
2022-04-26 20:35:25,19003,77.01707652,-92
2022-04-26 20:35:25,19002,159.1413852,-99
2022-04-26 20:35:26,13,366.2837502,-73
2022-04-26 20:35:26,11,61.83033782,-61
2022-04-26 20:35:26,19003,28.01117503,-83
2022-04-26 20:35:27,12,115.8186631,-65
2022-04-26 20:35:28,11,26.72270083,-56
2022-04-26 20:35:28,19001,117.3223902,-96
2022-04-26 20:35:29,14,546.5037808,-76
2022-04-26 20:35:30,11,31.76147205,-57
2022-04-26 20:35:30,12,115.8186631,-65
2022-04-26 20:35:31,14,622.3199556,-77
2022-04-26 20:35:31,13,479.1073624,-75
2022-04-26 20:35:31,11,26.72270083,-56
2022-04-26 20:35:31,12,61.83033782,-61
2022-04-26 20:35:32,19004,55.53579998,-89
2022-04-26 20:35:32,14,622.3199556,-77
2022-04-26 20:35:32,19005,49.68990043,-88
2022-04-26 20:35:32,19003,117.3223902,-96
2022-04-26 20:35:32,12,61.83033782,-61
2022-04-26 20:35:32,19002,85.69903308,-93
2022-04-26 20:35:33,19005,39.64444522,-86
2022-04-26 20:35:33,11,44.5346694,-59
2022-04-26 20:35:34,19004,35.35052989,-85
2022-04-26 20:35:34,19002,39.64444522,-86
2022-04-26 20:35:34,13,546.5037808,-76
2022-04-26 20:35:34,19004,35.35052989,-85
2022-04-26 20:35:34,11,44.5346694,-59
2022-04-26 20:35:34,19005,35.35052989,-85
2022-04-26 20:35:34,12,156.3746411,-67
2022-04-26 20:35:34,19001,117.3223902,-96
2022-04-26 20:35:34,14,1163.147271,-82
2022-04-26 20:35:35,12,61.83033782,-61
2022-04-26 20:35:35,14,622.3199556,-77
