time,d,rssi
1650976503.0,9.0,77.0
1650976504.0,6.0,77.0
1650976504.0,1.0,53.0
1650976505.0,3.0,66.0
1650976505.0,9.0,78.0
1650976506.0,9.0,76.0
1650976507.0,1.0,53.0
1650976508.0,6.0,86.0
1650976508.0,3.0,65.0
1650976510.0,1.0,54.0
1650976511.0,3.0,65.0
1650976512.0,1.0,56.0
1650976513.0,6.0,78.0
1650976513.0,9.0,83.0
1650976514.0,3.0,72.0
1650976514.0,9.0,83.0
1650976515.0,6.0,78.0
1650976515.0,1.0,62.0
1650976515.0,3.0,66.0
1650976516.0,6.0,73.0
1650976516.0,9.0,82.0
1650976517.0,3.0,66.0
1650976517.0,9.0,80.0
1650976518.0,6.0,78.0
1650976518.0,1.0,56.0
1650976518.0,3.0,67.0
1650976519.0,6.0,87.0
1650976519.0,9.0,81.0
1650976520.0,3.0,66.0
1650976520.0,9.0,74.0
1650976520.0,6.0,76.0
1650976520.0,1.0,59.0
1650976520.0,3.0,62.0
1650976522.0,1.0,59.0
1650976522.0,9.0,77.0
1650976522.0,3.0,67.0
1650976523.0,6.0,75.0
1650976523.0,1.0,65.0
1650976524.0,6.0,72.0
1650976524.0,1.0,61.0
1650976526.0,6.0,73.0
1650976526.0,1.0,61.0
1650976527.0,3.0,65.0
1650976528.0,1.0,56.0
1650976529.0,9.0,76.0
1650976530.0,1.0,57.0
1650976530.0,3.0,65.0
1650976531.0,9.0,77.0
1650976531.0,6.0,75.0
1650976531.0,1.0,56.0
1650976531.0,3.0,61.0
1650976532.0,9.0,77.0
1650976532.0,3.0,61.0
1650976533.0,1.0,59.0
1650976534.0,6.0,76.0
1650976534.0,1.0,59.0
1650976534.0,3.0,67.0
1650976534.0,9.0,82.0
1650976535.0,3.0,61.0
1650976535.0,9.0,77.0
1650976536.0,1.0,60.0
1650976537.0,6.0,72.0
1650976537.0,3.0,87.0
1650976538.0,3.0,94.0
1650976539.0,1.0,66.0
1650976540.0,6.0,78.0
1650976540.0,3.0,65.0
1650976542.0,6.0,83.0
1650976542.0,9.0,78.0
1650976543.0,6.0,85.0
1650976543.0,1.0,56.0
1650976543.0,9.0,77.0
1650976544.0,1.0,59.0
1650976544.0,3.0,65.0
1650976545.0,9.0,82.0
1650976545.0,6.0,75.0
1650976545.0,1.0,59.0
1650976546.0,9.0,76.0
1650976547.0,6.0,75.0
1650976547.0,1.0,59.0
1650976548.0,6.0,73.0
1650976552.0,1.0,66.0
1650976552.0,9.0,76.0
1650976553.0,1.0,56.0
1650976553.0,3.0,65.0
1650976554.0,6.0,85.0
1650976554.0,9.0,77.0
1650976555.0,6.0,85.0
1650976555.0,3.0,66.0
1650976555.0,9.0,83.0
1650976556.0,3.0,66.0
1650976557.0,6.0,79.0
1650976557.0,1.0,60.0
1650976557.0,9.0,74.0
1650976558.0,6.0,75.0
1650976558.0,3.0,61.0
1650976559.0,1.0,60.0
1650976560.0,6.0,76.0
1650976561.0,9.0,81.0
1650976561.0,6.0,75.0
1650976561.0,1.0,60.0
1650976562.0,1.0,60.0
1650976562.0,9.0,86.0
1650976563.0,6.0,81.0
1650976563.0,3.0,84.0
1650976563.0,9.0,82.0
1650976744.0,9.0,76.0
1650976745.0,1.0,59.0
1650976745.0,3.0,63.0
1650976746.0,3.0,67.0
1650976747.0,1.0,59.0
1650976747.0,9.0,81.0
1650976748.0,6.0,75.0
1650976748.0,3.0,61.0
1650976748.0,3.0,63.0
1650976748.0,9.0,86.0
1650976750.0,6.0,70.0
1650976750.0,1.0,61.0
1650976750.0,6.0,70.0
1650976750.0,1.0,63.0
1650976750.0,3.0,63.0
1650976751.0,3.0,65.0
1650976752.0,1.0,65.0
1650976754.0,3.0,66.0
1650976755.0,6.0,76.0
1650976755.0,3.0,66.0
1650976756.0,9.0,80.0
1650976757.0,1.0,59.0
1650976758.0,6.0,89.0
1650976758.0,9.0,79.0
1650976759.0,3.0,65.0
1650976759.0,9.0,85.0
1650976759.0,1.0,59.0
1650976760.0,1.0,62.0
1650976761.0,3.0,63.0
1650976761.0,9.0,86.0
1650976762.0,3.0,67.0
1650976762.0,9.0,83.0
1650976763.0,6.0,80.0
1650976763.0,1.0,59.0
1650976764.0,3.0,66.0
1650976765.0,1.0,62.0
1650976766.0,6.0,70.0
